"","link","office_hours"
"1","/people/christina-bambrick/","Office Hours: Wednesdays 1:00 p.m. to 3:00 p.m. and Friday mornings by appointment"
"2","/people/sotirios-barber/","Office Hours: Mondays and Wednesdays 4 p.m. to 5:30 p.m. via Zoom, and by appointment"
"3","/people/jaimie-bleck/",NA
"4","/people/david-campbell/","Office Hours: Mondays 3:30 p.m. to 5:00 p.m. and Tuesdays 2:00 p.m. to 3:30 p.m."
"5","/people/susan-d-collins/",NA
"6","/people/michael-j-coppedge/","Office Hours: Mondays and Wednesdays 3:30 p.m. to 5:00 p.m."
"7","/people/david-cortez/","Office Hours: Tuesdays and Thursdays 12:00 p.m. to 1:30 p.m., and by appointment"
"8","/people/darren-davis/","Office Hours: Mondays and Wednesdays 11:00 a.m. to 1:00 p.m., and by appointment"
"9","/people/patrick-j-deneen/",NA
"10","/people/michael-c-desch/","Office Hours: Mondays 1 p.m. to 3 p.m. and Tuesdays 2 p.m. to 4 p.m."
"11","/people/rev-robert-dowd-c-s-c/","Office Hours: Mondays and Thursdays 3:00 p.m. to 4:00 p.m. in 100G Main Building"
"12","/people/amitava-krishna-dutt/","Office Hours: Via Zoom"
"13","/people/luis-ricardo-fraga/","Office Hours: Mondays 2 p.m. to 4 p.m., and by appointment"
"14","/people/eugene-gholz/","Office Hours: Mondays 10:00 a.m. to 11:30 a.m. and Fridays 2:00 p.m. to 3:30 p.m."
"15","/people/andrew-c-gould/","Office Hours: Tuesdays and Thursdays 1:30 p.m. to 2:45 p.m."
"16","/people/matthew-e-k-hall/","Office Hours: By appointment only"
"17","/people/jeff-harden/","Office Hours: Tuesdays and Thursdays 11:20 a.m. to 12:00 p.m., Fridays 2:00 p.m. to 3:40 p.m.. Please make appointment via link in bio."
"18","/people/michael-hoffman/",NA
"19","/people/victoria-tin-bor-hui/","Office Hours: Tuesdays and Thursdays 3:30 p.m. to 5:00 p.m., and by appointment"
"20","/people/eileen-m-hunt/","Office Hours: Tuesdays and Thursdays 12:30 p.m. to 2:00 p.m."
"21","/people/debra-javeline/","Office Hours: Tuesdays and Thursdays 2 p.m. to 3:30 p.m. via Zoom. Appointments preferred"
"22","/people/joshua-b-kaplan/","Office Hours: Monday - Friday 1:30 p.m. to 4:30 p.m. (In person or via Zoom). Appointments preferred"
"23","/people/rosemary-a-kelanic/","Office Hours: Wednesdays 1:00 p.m. to 3:00 p.m. via Zoom, and by appointment"
"24","/people/mary-m-keys/","Office Hours: Mondays and Fridays 2:00 p.m. to 3:30 p.m."
"25","/people/karrie-j-koesel/","Office Hours: Fridays 2:00 p.m. to 4:30 p.m. and by appointment"
"26","/people/geoffrey-c-layman/","Office Hours: Mondays and Wednesdays 10:30 a.m. to noon"
"27","/people/dan-lindley/","Office Hours: Wednesdays 1:30 p.m. to 3:00 p.m., Thursdays 3:00 p.m. to 4:30 p.m., and by appointment"
"28","/people/scott-mainwaring/","Office Hours: Mondays 2:00 p.m. to 3:30 p.m. in person, and Fridays 1:00 p.m. to 2:30 p.m. in person or via Zoom"
"29","/people/a-james-mcadams/","Office Hours: Tuesdays 1:30 p.m. to 2:30 p.m. and Wednesdays 2:00 p.m. to 4:00 p.m."
"30","/people/angela-mccarthy/",NA
"31","/people/vincent-phillip-munoz/","Office Hours: Tuesdays 9:00 a.m. to 12:00 p.m., and by appointment"
"32","/people/joseph-m-parent/",NA
"33","/people/anibal-perez-linan/","Office Hours: Tuesdays 10:00 a.m. to 11:30 a.m. and Thursdays 2:00 p.m. to 3:30 p.m."
"34","/people/daniel-philpott/","Office Hours: Tuesdays 1:00 p.m. to 2:30 p.m. and Wednesdays 2:30 p.m. to 4:00 p.m."
"35","/people/dianne-pinderhughes/",NA
"36","/people/rachel-porter/","Office Hours: Mondays and Wednesdays 11:00 a.m. to 12:30 p.m."
"37","/people/emilia-justyna-powell/","Office Hours: Tuesdays and Thursdays 9:30 a.m. to 11:00 a.m. and by appointment"
"38","/people/benjamin-radcliff/","Office Hours: Mondays and Wednesdays 12:00 p.m. to 1:30 p.m., and by appointment via Zoom"
"39","/people/ricardo-ramirez/","Office Hours: Mondays and Wednesdays 1:30 p.m. to 2:30 p.m., and by appointment"
"40","/people/luc-reydams/","Office Hours: Tuesdays and Thursdays 9:30 a.m. to 11:30 a.m. in JNH Forum"
"41","/people/susan-pratt-rosato/","Office Hours: By appointment"
"42","/people/sebastian-rosato/","Office Hours: Mondays 9 a.m. to noon"
"43","/people/erin-rossiter/","Office Hours: Mondays 9:45 a.m. to noon and 6:15 p.m. to 7:00 p.m."
"44","/people/luis-schiumerini/",NA
"45","/people/jazmin-sierra/",NA
"46","/people/guillermo-trejo/",NA
"47","/people/ernesto-verdeja/","Office Hours: Tuesdays 2:15 p.m. to 3:45 p.m. and Wednesdays 10.m. to 11:30 a.m., by appointment via Zoom"
"48","/people/dana-villa/","Office Hours: Wednesdays 3:30 p.m. to 6:30 p.m. and by appointment"
"49","/people/susanne-wengle/","Office Hours: Fridays 1:00 p.m. to 3:00 p.m., or by appointment"
"50","/people/christina-wolbrecht/","Office Hours: Mondays 1:30 p.m. to 3:00 p.m. and by appointment"
